experiment,status,duration,epochs_completed,final_active_validators,avg_finality_rate,std_finality_rate,final_gini,max_gini,total_slashing,avg_governance_participation,final_byzantine_control,final_cartel_control
adaptive_weights_stake_heavy,success,14.209172487258911,500,100,1.0,0.0,0.6810709225030713,0.6810709225030713,0,0.7145112860181638,0.06521701275201634,0.17521276467220193
adaptive_weights_activity_heavy,success,14.574126720428467,500,100,1.0,0.0,0.6810709225030713,0.6810709225030713,0,0.7187819678977659,0.06521701275201634,0.17521276467220193
adaptive_weights_governance_heavy,success,15.163018465042114,500,100,1.0,0.0,0.6810709225030713,0.6810709225030713,0,0.7144369283175925,0.06521701275201634,0.17521276467220193
