epoch,height,active_validators,total_stake,gini_coefficient,avg_synergy_score,finality_rate,slashing_events,governance_participation,cartel_control,byzantine_stake_ratio
0,32,100,999999.9999999993,0.6810709225030713,39.135483870967754,1.0,0,0.6,0.0,0.19406280285452326
1,64,100,999999.9999999993,0.6810709225030713,159.14920634920637,1.0,0,1.22,0.0,0.19406280285452326
2,96,100,999999.9999999993,0.6810709225030713,161.24631578947373,1.0,0,0.93,0.0,0.19406280285452326
3,128,100,999999.9999999993,0.6810709225030713,163.23464566929133,1.0,0,0.85,0.0,0.19406280285452326
4,160,100,999999.9999999993,0.6810709225030713,166.7050314465409,1.0,0,0.8,0.0,0.19406280285452326
5,192,100,999999.9999999993,0.6810709225030713,167.21047120418848,1.0,0,0.756,0.0,0.19406280285452326
6,224,100,999999.9999999993,0.6810709225030713,165.25022421524667,1.0,0,0.7333333333333333,0.0,0.19406280285452326
7,256,100,999999.9999999993,0.6810709225030713,164.90957983193275,1.0,0,0.7085714285714285,0.0,0.19406280285452326
8,288,100,999999.9999999993,0.6810709225030713,163.23066202090595,1.0,0,0.69375,0.0,0.19406280285452326
9,320,100,999999.9999999993,0.6810709225030713,162.54838035527692,1.0,0,0.6833333333333333,0.0,0.19406280285452326
10,352,100,999999.9999999993,0.6810709225030713,162.2410256410257,1.0,0,0.678,0.0,0.19406280285452326
11,384,100,999999.9999999993,0.6810709225030713,162.4977925468787,1.0,0,0.6672727272727272,0.0,0.19406280285452326
12,416,100,999999.9999999993,0.6810709225030713,161.55550200803216,1.0,0,0.6641666666666667,0.0,0.19406280285452326
13,448,100,999999.9999999993,0.6810709225030713,161.8502839442437,1.0,0,0.6623076923076923,0.0,0.19406280285452326
14,480,100,999999.9999999993,0.6810709225030713,162.2292275574113,1.0,0,0.6635714285714286,0.0,0.19406280285452326
15,512,100,999999.9999999993,0.6810709225030713,163.1167645140248,1.0,0,0.6586666666666666,0.0,0.19406280285452326
16,544,100,999999.9999999993,0.6810709225030713,162.7412523020258,1.0,0,0.65875,0.0,0.19406280285452326
17,576,100,999999.9999999993,0.6810709225030713,163.2361739130435,1.0,0,0.6558823529411765,0.0,0.19406280285452326
18,608,100,999999.9999999993,0.6810709225030713,163.12842760388065,1.0,0,0.6561111111111111,0.0,0.19406280285452326
19,640,100,999999.9999999993,0.6810709225030713,163.5589819619471,1.0,0,0.6542105263157895,0.0,0.19406280285452326
20,672,100,999999.9999999993,0.6810709225030713,163.53517138599108,1.0,0,0.6505,0.0,0.19406280285452326
21,704,100,999999.9999999993,0.6810709225030713,163.14174625753574,1.0,0,0.6476190476190476,0.0,0.19406280285452326
22,736,100,999999.9999999993,0.6810709225030713,162.88316635745207,1.0,0,0.6468181818181818,0.0,0.19406280285452326
23,768,100,999999.9999999993,0.6810709225030713,162.97563630179695,1.0,0,0.6473913043478261,0.0,0.19406280285452326
24,800,100,999999.9999999993,0.6810709225030713,163.3218815185649,1.0,0,0.6454166666666666,0.0,0.19406280285452326
25,832,100,999999.9999999993,0.6810709225030713,163.13684717208181,1.0,0,0.6428,0.0,0.19406280285452326
26,864,100,999999.9999999993,0.6810709225030713,162.84597557714594,1.0,0,0.6434615384615384,0.0,0.19406280285452326
27,896,100,999999.9999999993,0.6810709225030713,163.16033933374717,1.0,0,0.642962962962963,0.0,0.19406280285452326
28,928,100,999999.9999999993,0.6810709225030713,163.22891046386195,1.0,0,0.6432142857142857,0.0,0.19406280285452326
29,960,100,999999.9999999993,0.6810709225030713,163.43692783431018,1.0,0,0.6413793103448275,0.0,0.19406280285452326
30,992,100,999999.9999999993,0.6810709225030713,163.22744702320887,1.0,0,0.642,0.0,0.19406280285452326
31,1024,100,999999.9999999993,0.6810709225030713,163.47370478983382,1.0,0,0.6403225806451613,0.0,0.19406280285452326
32,1056,100,999999.9999999993,0.6810709225030713,163.27501184834128,1.0,0,0.641875,0.0,0.19406280285452326
33,1088,100,999999.9999999993,0.6810709225030713,163.69735998438856,1.0,0,0.6409090909090909,0.0,0.19406280285452326
34,1120,100,999999.9999999993,0.6810709225030713,163.62570572464915,1.0,0,0.6411764705882353,0.0,0.19406280285452326
35,1152,100,999999.9999999993,0.6810709225030713,163.77942162095076,1.0,0,0.6408571428571429,0.0,0.19406280285452326
36,1184,100,999999.9999999993,0.6810709225030713,163.82294543063773,1.0,0,0.64,0.0,0.19406280285452326
37,1216,100,999999.9999999993,0.6810709225030713,163.7619397174953,1.0,0,0.6397297297297297,0.0,0.19406280285452326
38,1248,100,999999.9999999993,0.6810709225030713,163.79177816232647,1.0,0,0.6407894736842106,0.0,0.19406280285452326
39,1280,100,999999.9999999993,0.6810709225030713,164.07460957077845,1.0,0,0.6402564102564102,0.0,0.19406280285452326
40,1312,100,999999.9999999993,0.6810709225030713,164.06769641495043,1.0,0,0.63975,0.0,0.19406280285452326
41,1344,100,999999.9999999993,0.6810709225030713,164.04803225396364,1.0,0,0.6404878048780488,0.0,0.19406280285452326
42,1376,100,999999.9999999993,0.6810709225030713,164.26827359307356,1.0,0,0.6395238095238095,0.0,0.19406280285452326
43,1408,100,999999.9999999993,0.6810709225030713,164.15155451976003,1.0,0,0.6404651162790698,0.0,0.19406280285452326
44,1440,100,999999.9999999993,0.6810709225030713,164.40488975930256,1.0,0,0.6397727272727273,0.0,0.19406280285452326
45,1472,100,999999.9999999993,0.6810709225030713,164.33232117229397,1.0,0,0.6404444444444445,0.0,0.19406280285452326
46,1504,100,999999.9999999993,0.6810709225030713,164.52537244351876,1.0,0,0.6402173913043478,0.0,0.19406280285452326
47,1536,100,999999.9999999993,0.6810709225030713,164.53973525538848,1.0,0,0.6387234042553191,0.0,0.19406280285452326
