id,final_stake,final_synergy_score,blocks_proposed,blocks_attested,governance_votes,slashing_count,strategy,is_active,reputation_mean,reputation_std
val_0000,2687.8355846287827,70.96995616368439,12,947,28,0,byzantine,True,71.6327683895543,0.5568532862632359
val_0001,47118.75918014989,106.7170083468163,24,971,36,0,byzantine,True,107.51013379775449,0.6488046850486081
val_0002,10286.193197472609,196.8262148484947,25,2561,79,0,opportunistic,True,196.27935497287203,0.41438704536572785
val_0003,6131.497066273555,207.33228029262415,29,3171,81,0,honest,True,206.9549596340759,0.3306352558250374
val_0004,876.1030044956317,233.7858897794788,37,2305,100,0,cartel_member,True,233.8391319170252,0.05124654177158544
val_0005,875.9468961951552,234.2734797275309,44,2274,100,0,cartel_member,True,234.2748439829669,0.0352071388268687
val_0006,297.81909594087267,192.99013215051875,30,3170,75,0,honest,True,193.30866648188848,0.8062325446458795
val_0007,20651.628388214987,242.7839398829509,48,2282,100,0,cartel_member,True,242.73290370420244,0.04521005459553725
val_0008,6186.658006143382,207.80991632764486,51,3149,79,0,honest,True,208.09619005248135,0.7213072840039314
val_0009,9310.886012413957,40.74248822835106,4,1628,8,0,lazy,True,40.96691055646244,0.17437603943022914
val_0010,102.17435869055163,233.35127924644593,35,2315,100,0,cartel_member,True,233.36909215756666,0.03237451067456613
val_0011,68322.74157823005,228.28634021435622,48,3152,78,0,honest,True,229.25196400880444,0.6822004019764568
val_0012,16758.924081993322,240.3390807300152,39,2301,100,0,cartel_member,True,240.34314285858966,0.03470382032824107
val_0013,1262.1765924680844,234.49049114339547,38,2339,100,0,cartel_member,True,234.5604371764483,0.044658436330700456
val_0014,1047.5036605527473,233.6543875223643,34,2319,100,0,cartel_member,True,233.6345331948929,0.04456502070410336
val_0015,1058.2873043109214,233.74622833216515,34,2325,100,0,cartel_member,True,233.77737329736632,0.036561710522210675
val_0016,2001.991421442311,236.39942113875512,58,2268,100,0,cartel_member,True,236.3523598815933,0.06211957405512761
val_0017,4698.3546262165455,197.9241917246582,38,2536,80,0,opportunistic,True,197.37418166439147,0.5092372197219723
val_0018,3351.0330009628638,44.06904367518631,6,1580,11,0,lazy,True,44.29681386359494,0.19625212529547886
val_0019,1887.5668322694112,193.85110157952968,32,3168,75,0,honest,True,194.60830493503963,0.572115227850066
val_0020,6434.5826459020445,212.95687573899653,42,3158,83,0,honest,True,212.42265177502696,0.37156119305818563
val_0021,770.8652859027587,211.92384464452047,35,3165,84,0,honest,True,211.58185393650183,0.3124260115419812
val_0022,1895.5021719602332,203.9552858164161,32,3168,80,0,honest,True,204.8461715097433,0.6986648426909552
val_0023,2601.556683255056,222.50705315504982,33,3165,88,0,adaptive,True,222.31838068951183,0.17266513389908544
val_0024,3664.2042020439517,44.61944500963562,10,1575,11,0,lazy,True,44.902811199949355,0.2504627211001139
val_0025,13083.213196954575,239.74406989897568,43,2340,100,0,cartel_member,True,239.89865238631907,0.07195482931176375
val_0026,1171.4181202198238,48.05035574891363,6,1645,13,0,lazy,True,47.62155454001904,0.7868923847151412
val_0027,4524.206314609849,217.80319059812663,38,3162,86,0,honest,True,218.95264015455604,0.7829745915017962
val_0028,5993.7901115356635,199.749845213136,33,2528,80,0,opportunistic,True,199.36308298962425,0.3392505017472248
