epoch,height,active_validators,total_stake,gini_coefficient,avg_synergy_score,finality_rate,slashing_events,governance_participation,cartel_control,byzantine_stake_ratio
0,32,100,999999.9999999993,0.6810709225030713,56.38709677419355,1.0,0,0.73,0.17521276467220193,0.06521701275201634
1,64,100,999999.9999999993,0.6810709225030713,202.85714285714283,1.0,0,1.41,0.17521276467220193,0.06521701275201634
2,96,100,999999.9999999993,0.6810709225030713,197.83368421052634,1.0,0,1.015,0.17521276467220193,0.06521701275201634
3,128,100,999999.9999999993,0.6810709225030713,192.22624671916003,1.0,0,0.8733333333333333,0.17521276467220193,0.06521701275201634
4,160,100,999999.9999999993,0.6810709225030713,188.022641509434,1.0,0,0.835,0.17521276467220193,0.06521701275201634
5,192,100,999999.9999999993,0.6810709225030713,190.65235602094245,1.0,0,0.808,0.17521276467220193,0.06521701275201634
6,224,100,999999.9999999993,0.6810709225030713,191.70523168908824,1.0,0,0.79,0.17521276467220193,0.06521701275201634
7,256,100,999999.9999999993,0.6810709225030713,192.42151260504207,1.0,0,0.7685714285714286,0.17521276467220193,0.06521701275201634
8,288,100,999999.9999999993,0.6810709225030713,191.49094076655055,1.0,0,0.76,0.17521276467220193,0.06521701275201634
9,320,100,999999.9999999993,0.6810709225030713,192.0609543712992,1.0,0,0.7566666666666667,0.17521276467220193,0.06521701275201634
10,352,100,999999.9999999993,0.6810709225030713,193.13504273504276,1.0,0,0.75,0.17521276467220193,0.06521701275201634
11,384,100,999999.9999999993,0.6810709225030713,193.3098504628531,1.0,0,0.7445454545454545,0.17521276467220193,0.06521701275201634
12,416,100,999999.9999999993,0.6810709225030713,193.44698795180722,1.0,0,0.7416666666666667,0.17521276467220193,0.06521701275201634
13,448,100,999999.9999999993,0.6810709225030713,193.87207021166753,1.0,0,0.7369230769230769,0.17521276467220193,0.06521701275201634
14,480,100,999999.9999999993,0.6810709225030713,193.83417834774826,1.0,0,0.7364285714285714,0.17521276467220193,0.06521701275201634
15,512,100,999999.9999999993,0.6810709225030713,194.48701891715592,1.0,0,0.7366666666666667,0.17521276467220193,0.06521701275201634
16,544,100,999999.9999999993,0.6810709225030713,195.10400552486192,1.0,0,0.735,0.17521276467220193,0.06521701275201634
17,576,100,999999.9999999993,0.6810709225030713,195.33798465473146,1.0,0,0.7347058823529412,0.17521276467220193,0.06521701275201634
18,608,100,999999.9999999993,0.6810709225030713,195.77217645982063,1.0,0,0.7327777777777778,0.17521276467220193,0.06521701275201634
19,640,100,999999.9999999993,0.6810709225030713,195.85994563874476,1.0,0,0.7315789473684211,0.17521276467220193,0.06521701275201634
20,672,100,999999.9999999993,0.6810709225030713,195.97824143070045,1.0,0,0.73,0.17521276467220193,0.06521701275201634
21,704,100,999999.9999999993,0.6810709225030713,196.0359547517442,1.0,0,0.73,0.17521276467220193,0.06521701275201634
22,736,100,999999.9999999993,0.6810709225030713,196.3636363636364,1.0,0,0.7277272727272728,0.17521276467220193,0.06521701275201634
23,768,100,999999.9999999993,0.6810709225030713,196.21869508531265,1.0,0,0.7260869565217392,0.17521276467220193,0.06521701275201634
24,800,100,999999.9999999993,0.6810709225030713,196.1466416353776,1.0,0,0.7258333333333333,0.17521276467220193,0.06521701275201634
25,832,100,999999.9999999993,0.6810709225030713,196.32895306859206,1.0,0,0.7212,0.17521276467220193,0.06521701275201634
26,864,100,999999.9999999993,0.6810709225030713,195.6774757108477,1.0,0,0.7207692307692307,0.17521276467220193,0.06521701275201634
27,896,100,999999.9999999993,0.6810709225030713,195.78487068073662,1.0,0,0.7192592592592593,0.17521276467220193,0.06521701275201634
28,928,100,999999.9999999993,0.6810709225030713,195.68062875635695,1.0,0,0.7189285714285715,0.17521276467220193,0.06521701275201634
29,960,100,999999.9999999993,0.6810709225030713,195.78796159792893,1.0,0,0.7193103448275862,0.17521276467220193,0.06521701275201634
30,992,100,999999.9999999993,0.6810709225030713,196.00813992600067,1.0,0,0.7203333333333334,0.17521276467220193,0.06521701275201634
31,1024,100,999999.9999999993,0.6810709225030713,196.341935483871,1.0,0,0.7219354838709677,0.17521276467220193,0.06521701275201634
32,1056,100,999999.9999999993,0.6810709225030713,196.8037203791469,1.0,0,0.723125,0.17521276467220193,0.06521701275201634
33,1088,100,999999.9999999993,0.6810709225030713,197.1620194586156,1.0,0,0.7233333333333334,0.17521276467220193,0.06521701275201634
34,1120,100,999999.9999999993,0.6810709225030713,197.32972717237027,1.0,0,0.721764705882353,0.17521276467220193,0.06521701275201634
35,1152,100,999999.9999999993,0.6810709225030713,197.15228993421871,1.0,0,0.7214285714285714,0.17521276467220193,0.06521701275201634
36,1184,100,999999.9999999993,0.6810709225030713,197.20541936695784,1.0,0,0.7194444444444444,0.17521276467220193,0.06521701275201634
37,1216,100,999999.9999999993,0.6810709225030713,196.9106172839506,1.0,0,0.7191891891891892,0.17521276467220193,0.06521701275201634
38,1248,100,999999.9999999993,0.6810709225030713,196.96826910901953,1.0,0,0.716842105263158,0.17521276467220193,0.06521701275201634
39,1280,100,999999.9999999993,0.6810709225030713,196.6047392794852,1.0,0,0.7174358974358974,0.17521276467220193,0.06521701275201634
40,1312,100,999999.9999999993,0.6810709225030713,196.81121281464533,1.0,0,0.7185,0.17521276467220193,0.06521701275201634
41,1344,100,999999.9999999993,0.6810709225030713,197.10115322448829,1.0,0,0.7168292682926829,0.17521276467220193,0.06521701275201634
42,1376,100,999999.9999999993,0.6810709225030713,196.86350822510823,1.0,0,0.7176190476190476,0.17521276467220193,0.06521701275201634
43,1408,100,999999.9999999993,0.6810709225030713,197.09777359051924,1.0,0,0.718139534883721,0.17521276467220193,0.06521701275201634
44,1440,100,999999.9999999993,0.6810709225030713,197.27385179101648,1.0,0,0.7188636363636364,0.17521276467220193,0.06521701275201634
