id,final_stake,final_synergy_score,blocks_proposed,blocks_attested,governance_votes,slashing_count,strategy,is_active,reputation_mean,reputation_std
val_0000,2687.8355846287827,64.9348647467424,13,938,25,0,byzantine,True,64.04103178529435,0.7023343255408651
val_0001,46647.57158834839,212.98317832083285,44,3156,76,1,honest,True,212.44311508956395,0.43640803025495545
val_0002,10286.193197472609,190.99261872692637,33,2499,76,0,opportunistic,True,191.32902153225785,0.8172715055274197
val_0003,6131.497066273555,208.79639364565296,42,3158,81,0,honest,True,208.44451301233104,0.31242460195748595
val_0004,876.1030044956317,81.77188388573167,15,1030,34,0,byzantine,True,82.44844883434521,0.5608686159308879
val_0005,875.9468961951552,73.81605240687786,24,950,29,0,byzantine,True,73.78452134040512,0.5821012980662293
val_0006,297.81909594087267,203.20916456680825,49,3151,79,0,honest,True,202.8248299928712,0.3428005915471752
val_0007,20651.628388214987,68.97114258079255,21,929,23,0,byzantine,True,69.50482155734389,0.4269528184930981
val_0008,6186.658006143382,212.41416278452076,56,3144,82,0,honest,True,212.0111028275015,0.30114561662521294
val_0009,9310.886012413957,40.769251740138884,10,1571,8,0,lazy,True,40.91178153969858,0.14977526322067283
val_0010,102.17435869055163,84.72732826961372,21,909,35,0,byzantine,True,85.53499077825916,0.6552805676964316
val_0011,68322.74157823005,245.69872641724228,59,3141,85,0,honest,True,246.8635194313613,0.7886367881667269
val_0012,16758.924081993322,63.51046577663197,16,990,21,0,byzantine,True,63.88618023152555,0.33576199468999757
val_0013,1262.1765924680844,74.82795573975046,14,958,30,0,byzantine,True,74.76452760807169,0.5896860929648203
val_0014,1047.5036605527473,72.8093714195177,15,954,29,0,byzantine,True,73.47298657740534,0.5637509626101112
val_0015,1058.2873043109214,66.46549097798575,12,961,26,0,byzantine,True,67.03703927795607,0.4905492678661534
val_0016,2001.991421442311,57.45486319819529,20,938,22,0,byzantine,True,57.2568068840026,0.6528764497528425
val_0017,4698.3546262165455,195.1546411961957,34,2516,79,0,opportunistic,True,194.75703340405926,0.43239942747981963
val_0018,3351.0330009628638,37.646456181722506,4,1571,9,0,lazy,True,37.81693328116859,0.1403269598593931
val_0019,1887.5668322694112,194.97680917886368,42,3158,75,0,honest,True,195.15181511729384,0.6463073149519799
val_0020,6434.5826459020445,207.46558983460943,65,3135,79,0,honest,True,207.6739300596056,0.7032357251751266
