epoch,height,active_validators,total_stake,gini_coefficient,avg_synergy_score,finality_rate,slashing_events,governance_participation,cartel_control,byzantine_stake_ratio
0,32,100,999999.9999999993,0.6810709225030713,40.3225806451613,1.0,0,0.64,0.0,0.17521276467220193
1,64,100,999999.9999999993,0.6810709225030713,168.49523809523808,1.0,0,1.28,0.0,0.17521276467220193
2,96,100,999999.9999999993,0.6810709225030713,168.5221052631579,1.0,0,0.95,0.0,0.17521276467220193
3,128,100,999999.9999999993,0.6810709225030713,167.23674540682416,1.0,0,0.8466666666666667,0.0,0.17521276467220193
4,160,100,999999.9999999993,0.6810709225030713,167.5685534591195,1.0,0,0.805,0.0,0.17521276467220193
5,192,100,999999.9999999993,0.6810709225030713,169.36963350785342,1.0,0,0.77,0.0,0.17521276467220193
6,224,100,999999.9999999993,0.6810709225030713,168.89297458893873,1.0,0,0.755,0.0,0.17521276467220193
7,256,100,999999.9999999993,0.6810709225030713,170.01210084033613,1.0,0,0.7328571428571429,0.0,0.17521276467220193
8,288,100,999999.9999999993,0.6810709225030713,168.81864111498257,1.0,0,0.71625,0.0,0.17521276467220193
9,320,100,999999.9999999993,0.6810709225030713,167.92142110762802,1.0,0,0.7133333333333334,0.0,0.17521276467220193
10,352,100,999999.9999999993,0.6810709225030713,168.997150997151,1.0,0,0.701,0.0,0.17521276467220193
11,384,100,999999.9999999993,0.6810709225030713,168.04984571564208,1.0,0,0.7,0.0,0.17521276467220193
12,416,100,999999.9999999993,0.6810709225030713,168.94056224899595,1.0,0,0.6966666666666667,0.0,0.17521276467220193
13,448,100,999999.9999999993,0.6810709225030713,169.21762175184995,1.0,0,0.6976923076923077,0.0,0.17521276467220193
14,480,100,999999.9999999993,0.6810709225030713,170.18270205785862,1.0,0,0.6971428571428572,0.0,0.17521276467220193
15,512,100,999999.9999999993,0.6810709225030713,170.74390084801044,1.0,0,0.6926666666666667,0.0,0.17521276467220193
16,544,100,999999.9999999993,0.6810709225030713,170.5077808471455,1.0,0,0.691875,0.0,0.17521276467220193
17,576,100,999999.9999999993,0.6810709225030713,170.8808593350384,1.0,0,0.6911764705882353,0.0,0.17521276467220193
18,608,100,999999.9999999993,0.6810709225030713,171.1980596741717,1.0,0,0.6877777777777778,0.0,0.17521276467220193
19,640,100,999999.9999999993,0.6810709225030713,170.9599209290833,1.0,0,0.6868421052631579,0.0,0.17521276467220193
20,672,100,999999.9999999993,0.6810709225030713,171.1521609538003,1.0,0,0.6875,0.0,0.17521276467220193
21,704,100,999999.9999999993,0.6810709225030713,171.61127142179777,1.0,0,0.6885714285714286,0.0,0.17521276467220193
22,736,100,999999.9999999993,0.6810709225030713,172.11196042053186,1.0,0,0.6868181818181818,0.0,0.17521276467220193
23,768,100,999999.9999999993,0.6810709225030713,172.03380760727853,1.0,0,0.6830434782608695,0.0,0.17521276467220193
24,800,100,999999.9999999993,0.6810709225030713,171.56798080934507,1.0,0,0.6820833333333334,0.0,0.17521276467220193
25,832,100,999999.9999999993,0.6810709225030713,171.61415162454875,1.0,0,0.6808,0.0,0.17521276467220193
26,864,100,999999.9999999993,0.6810709225030713,171.55853462875478,1.0,0,0.6796153846153846,0.0,0.17521276467220193
27,896,100,999999.9999999993,0.6810709225030713,171.52933581626323,1.0,0,0.6781481481481482,0.0,0.17521276467220193
28,928,100,999999.9999999993,0.6810709225030713,171.4191554939128,1.0,0,0.6764285714285714,0.0,0.17521276467220193
29,960,100,999999.9999999993,0.6810709225030713,171.25092948833196,1.0,0,0.6786206896551724,0.0,0.17521276467220193
30,992,100,999999.9999999993,0.6810709225030713,171.83208879919275,1.0,0,0.6773333333333333,0.0,0.17521276467220193
31,1024,100,999999.9999999993,0.6810709225030713,171.72942326490713,1.0,0,0.677741935483871,0.0,0.17521276467220193
32,1056,100,999999.9999999993,0.6810709225030713,171.9460545023697,1.0,0,0.676875,0.0,0.17521276467220193
33,1088,100,999999.9999999993,0.6810709225030713,171.90823785230413,1.0,0,0.6742424242424242,0.0,0.17521276467220193
